F,Haleigh,18
F,Halle,18
F,Liliana,18
F,Lisa,18
F,Marina,18
F,Raquel,18
F,Tori,18
F,Alivia,17
F,Annika,17
F,Anya,17
F,Daniella,17
F,Esther,17
F,Georgia,17
F,Jaclyn,17
F,Jacquelyn,17
F,Julianne,17
F,Kristin,17
F,Kyla,17
F,Maura,17
F,Miriam,17
F,Monica,17
F,Rylee,17
F,Alisha,16
F,Angel,16
F,Anika,16
F,Ariel,16
F,Cameron,16
F,Devin,16
F,Fatima,16
F,Hailee,16
F,Ivy,16
F,Kianna,16
F,Leslie,16
F,Piper,16
F,Sage,16
F,Sasha,16
F,Sonia,16
F,Ashlee,15
F,Aurora,15
F,Cara,15
F,Carla,15
F,Cecelia,15
F,Daisy,15
F,Dominique,15
F,Giovanna,15
F,Helena,15
F,Kylee,15
F,Monique,15
F,Nathalie,15
F,Noelle,15
F,Savanna,15
F,Tatyana,15
F,Alina,14
F,Angelique,14
F,Caleigh,14
F,Camila,14
F,Cora,14
F,Deanna,14
F,Eliana,14
F,Izabella,14
F,Karla,14
F,Kassidy,14
F,Katelynn,14
F,Kaya,14
F,Kayley,14
F,Kaylin,14
F,Krista,14
F,Krystal,14
F,Lauryn,14
F,Marie,14
F,Meagan,14
F,Melina,14
F,Nyah,14
F,Reagan,14
F,Taina,14
F,Tayla,14
F,Valentina,14
F,Ann,13
F,Annabel,13
F,Antonia,13
F,Ashleigh,13
F,Cindy,13
F,Deborah,13
F,Ellen,13
F,Emilia,13
F,Giselle,13
F,Hallie,13
F,Isabela,13
F,Jaelyn,13
F,Kali,13
F,Kaylyn,13
F,Larissa,13
F,Liana,13
F,Makenna,13
F,Mollie,13
F,Nicolette,13
F,Pamela,13
F,Priscilla,13
F,Regan,13
F,Robyn,13
F,Rosemary,13
F,Ruth,13
F,Ryan,13
F,Tia,13
F,Alisa,12
F,Alyson,12
F,Ashlyn,12
F,Bryanna,12
F,Carissa,12
F,Carolina,12
F,Corinne,12
F,Cristina,12
F,Daphne,12
F,Devon,12
F,Emely,12
F,Gwendolyn,12
F,Ilana,12
F,Iris,12
F,Jaida,12
F,Jill,12
F,Johanna,12
F,Kelsie,12
F,Kyleigh,12
F,Layla,12
F,Leanne,12
F,Lexi,12
F,Macy,12
F,Maddison,12
F,Madyson,12
F,Makenzie,12
F,Mallory,12
